sample_index,characteristic_physical_gate_error_rate,surface_code_cycle_time,heuristic_surface_code_physical_threshold_order_of_magnitude,naive_serial_time_days,code_distance_d,approximate_data_plane_physical_qubits,logical_qubits_at_n,logical_failure_proxy_union_depth_phenomenological,magic_limited_runtime_multiplier,ecdlp_toffoli_gates_upper_bound
42,0.0005811674818856754,0.53079154152983,0.011147059067541093,0.00043003944336907524,21.0,1403600.0,1450.0,1.0599971988312221e-05,,70000000.0
43,0.0015847668882957608,1.9312153048325185,0.019078048148277956,0.0015646420293781978,17.0,939600.0,1450.0,1.0453520609598535e-05,,70000000.0
44,0.0017032661535875578,0.7230034647801005,0.007322410529842856,0.0005857666960023962,25.0,1960400.0,1450.0,2.0117086526018766e-05,,70000000.0
45,0.0008920256179729054,1.6760614941410505,0.01276536296798362,0.0013579201920124251,19.0,1160000.0,1450.0,3.0460453486327896e-05,,70000000.0
46,0.001441126231279124,0.8107668086975292,0.015029826966072883,0.0006568712570466092,19.0,1160000.0,1450.0,5.95015442580649e-06,,70000000.0
47,0.0012970129665353693,1.233887848700145,0.008287304826416795,0.0009996776551968768,23.0,1670400.0,1450.0,3.335095560890473e-05,,70000000.0
48,0.0010481499717354176,1.9166122338800207,0.012218289757939321,0.001552810837634276,19.0,1160000.0,1450.0,4.720237401977696e-05,,70000000.0
49,0.0013509853134995244,1.5695774877817288,0.018378424197809617,0.0012716484276009377,17.0,939600.0,1450.0,1.4631660037988662e-05,,70000000.0
50,0.0012877152499832757,1.4513821462723433,0.007188637989286827,0.00117588831295213,25.0,1960400.0,1450.0,2.5565957757917134e-05,,70000000.0
51,0.001214090898876348,1.0009837426762107,0.006525525413237321,0.0008109821989274854,27.0,2273600.0,1450.0,1.3786411890504464e-05,,70000000.0
52,0.0012791023998481865,1.9827588781274916,0.012145720143181713,0.0016064018688532918,19.0,1160000.0,1450.0,5.009972519819511e-05,,70000000.0
53,0.00158757613335829,0.8446104693333276,0.01295642097214685,0.0006842908895061682,19.0,1160000.0,1450.0,2.6255333573186595e-05,,70000000.0
54,0.0008279005599807816,1.088664333851366,0.014656862349011184,0.0008820197149258752,19.0,1160000.0,1450.0,7.649938658110316e-06,,70000000.0
55,0.000505179570045849,1.5773442717480572,0.008786811600130895,0.0012779409609069909,23.0,1670400.0,1450.0,1.6523128026438434e-05,,70000000.0
56,0.0017134469965109924,1.85819790012916,0.01679161973003544,0.0015054844098268659,17.0,939600.0,1450.0,3.2978790976732844e-05,,70000000.0
57,0.001945188403664714,1.0647965452259758,0.013893616668899926,0.0008626823861784526,19.0,1160000.0,1450.0,1.3059150324931092e-05,,70000000.0
58,0.0006235494536656964,1.2539819144835933,0.006381912785952891,0.0010159575696047632,27.0,2273600.0,1450.0,1.8825908156333585e-05,,70000000.0
59,0.001105594515775352,1.2374809347289695,0.018327714120663932,0.0010025887202665261,17.0,939600.0,1450.0,1.5000071395055878e-05,,70000000.0
60,0.0012670318732023215,1.161885527571507,0.01520904919135642,0.000941342441319508,19.0,1160000.0,1450.0,5.285029293081677e-06,,70000000.0
61,0.0007864443822008864,0.8158966605594128,0.01899018979740378,0.000661027387027302,17.0,939600.0,1450.0,1.089693339866282e-05,,70000000.0
62,0.0016757164220711307,0.6963886238182825,0.014316228847990897,0.0005642037461490714,19.0,1160000.0,1450.0,9.677913223482726e-06,,70000000.0
63,0.0018236314894040952,1.045434387508198,0.010473245526716229,0.00084699545284229,21.0,1403600.0,1450.0,2.1046210520787907e-05,,70000000.0
64,0.0015164347765183144,1.8446224902745623,0.012432539458106807,0.0014944858138798537,19.0,1160000.0,1450.0,3.967067423746751e-05,,70000000.0
65,0.001086455881835683,0.734206123726119,0.013338458115776405,0.0005948429243151427,19.0,1160000.0,1450.0,1.9634133989387455e-05,,70000000.0
66,0.0013626061127544205,1.8315060131695073,0.008620573349508746,0.0014838590384475174,23.0,1670400.0,1450.0,2.0779458538844084e-05,,70000000.0
67,0.0006498072119832706,1.2991501922509896,0.017127306304468265,0.001052552239092237,17.0,939600.0,1450.0,2.759729156702808e-05,,70000000.0
68,0.0006059470961971881,1.909013458979472,0.017936815902089284,0.0015466544227842945,17.0,939600.0,1450.0,1.821209420330316e-05,,70000000.0
69,0.0018340453980124891,1.4193054816471975,0.006235204770869788,0.001149900274482683,27.0,2273600.0,1450.0,2.6071015861735145e-05,,70000000.0
70,0.00159830351598602,1.7538827275279256,0.01940385325378877,0.0014209698023953101,17.0,939600.0,1450.0,8.975862906646038e-06,,70000000.0
71,0.0018495579769757606,0.6760829689044926,0.017736658673397455,0.0005477524053624361,17.0,939600.0,1450.0,2.0147527999378193e-05,,70000000.0
72,0.0009905053058168896,0.5755556162769172,0.0155472084280214,0.00046630663355768753,17.0,939600.0,1450.0,6.594718422604056e-05,,70000000.0
73,0.001130402068057194,0.9886189818835525,0.016517212969781342,0.0008009644529149151,17.0,939600.0,1450.0,3.825050097408638e-05,,70000000.0
74,0.0017397787663388168,1.1149543859203266,0.00890888386716586,0.0009033195256298943,23.0,1670400.0,1450.0,1.4001948380881575e-05,,70000000.0
75,0.0008507333258399465,0.6545473823843222,0.016684305562238252,0.0005303045922095202,17.0,939600.0,1450.0,3.493774162238515e-05,,70000000.0
76,0.0012816926535279877,1.0064192940134766,0.019808788584866652,0.0008153860020942518,17.0,939600.0,1450.0,7.453268940685223e-06,,70000000.0
77,0.001095820407530145,0.9864512499936963,0.018199252344535007,0.0007992081886523001,17.0,939600.0,1450.0,1.5980343967940037e-05,,70000000.0
78,0.0009072903518323952,1.352157704908041,0.006170722318418385,0.0010954981405504962,27.0,2273600.0,1450.0,3.0155323580205875e-05,,70000000.0
79,0.001975550669791134,1.1446069265024403,0.012590584092936766,0.0009273435747126252,19.0,1160000.0,1450.0,3.496304619089739e-05,,70000000.0
80,0.0011390826889647904,1.4049532110289402,0.010936779282003567,0.0011382722774540023,21.0,1403600.0,1450.0,1.30702568088626e-05,,70000000.0
81,0.0013863036016124482,1.5805629865167587,0.013700200679195217,0.0012805487159279296,19.0,1160000.0,1450.0,1.502445603829053e-05,,70000000.0
82,0.0013208787777846329,0.8044535839633967,0.005621844446677327,0.0006517563758962705,29.0,2610000.0,1450.0,1.9764492764700696e-05,,70000000.0
83,0.0014992360717591704,1.5478021687240928,0.019602724066857025,0.0012540063866977604,17.0,939600.0,1450.0,8.188798863405608e-06,,70000000.0
84,0.0015684052349480527,1.472655386900534,0.00851929332833619,0.0011931235773499698,23.0,1670400.0,1450.0,2.39455702334128e-05,,70000000.0
85,0.0007534087101998505,1.0596879350537316,0.006924588728214003,0.0008585434659000139,25.0,1960400.0,1450.0,4.1585913534121934e-05,,70000000.0
86,0.0006420025134383415,1.5906885422457815,0.01614084217840329,0.0012887522911713507,17.0,939600.0,1450.0,4.7068713099145966e-05,,70000000.0
87,0.0015548572604255186,1.3843130858390946,0.015336997336973756,0.0011215499538048221,19.0,1160000.0,1450.0,4.8603173011256496e-06,,70000000.0
88,0.0014230355737764188,0.7787444209191554,0.009973070885946069,0.0006309271928743158,21.0,1403600.0,1450.0,3.605371982051467e-05,,70000000.0
89,0.001818117182915522,1.6217690528698931,0.019271645794122938,0.0013139332604269968,17.0,939600.0,1450.0,9.54550260192997e-06,,70000000.0
90,0.0009734326524363104,1.4576650849340909,0.014802480026373178,0.0011809786567753052,19.0,1160000.0,1450.0,6.9298399909731465e-06,,70000000.0
91,0.0011295700718055802,1.4262535413283843,0.01688703464145088,0.0011555294895021634,17.0,939600.0,1450.0,3.13391704052417e-05,,70000000.0
92,0.0016106033138892448,1.1827989558813772,0.005407402149812059,0.0009582861911075972,29.0,2610000.0,1450.0,3.5419139337810374e-05,,70000000.0
93,0.0012524174118751872,1.91937775926809,0.017531849516497323,0.0015550514253329433,17.0,939600.0,1450.0,2.2367550988224262e-05,,70000000.0
94,0.0016697143332664462,1.4812696896042965,0.006843139933191495,0.0012001027577812587,25.0,1960400.0,1450.0,4.850065161562513e-05,,70000000.0
95,0.0010471308970835477,1.204996793126581,0.010525421118822743,0.0009762705499868133,21.0,1403600.0,1450.0,1.9926625330887615e-05,,70000000.0
96,0.0007045213326947529,1.1678017375485845,0.01488172016228094,0.0009461356669953811,19.0,1160000.0,1450.0,6.569566405175126e-06,,70000000.0
97,0.0018835287561743872,1.7048863211707526,0.013618705459094507,0.0013812736398374154,19.0,1160000.0,1450.0,1.5948130190845372e-05,,70000000.0
98,0.0013413611686041735,0.7743899721895839,0.014122608853959058,0.0006273992830239685,19.0,1160000.0,1450.0,1.1089672880809175e-05,,70000000.0
99,0.0008861879435164326,1.7681843180472037,0.010801097079222098,0.001432556739158614,21.0,1403600.0,1450.0,1.4994137183081696e-05,,70000000.0
100,0.001807499812952488,1.690026001321409,0.016089329982080024,0.0013692340288483638,17.0,939600.0,1450.0,4.8442485106631976e-05,,70000000.0
101,0.0005324735274768423,1.5252025525548758,0.015821616334652108,0.0012356965124865893,17.0,939600.0,1450.0,5.633916476025397e-05,,70000000.0
102,0.0007245889515467241,0.5061017452605348,0.012541257245672885,0.0004100361362064518,19.0,1160000.0,1450.0,3.6362797103011284e-05,,70000000.0
103,0.001875911194314513,1.5148588786787762,0.0173242455339707,0.0012273162211517863,17.0,939600.0,1450.0,2.4898837550926533e-05,,70000000.0
104,0.0012497763854510643,1.3355313129275057,0.01448859471892468,0.0010820276840847849,19.0,1160000.0,1450.0,8.586287005037826e-06,,70000000.0
